City,Total Phosphorus,Total Nitrogen
Wetland Pool 01,1.55,0.1
Wetland Pool 01,1.004,0.054
Aurand Run downstream,1.003,1.049
Wetland Pool 01,1.665,0.329
Aurand Run connection to P1,0,0
Wetland Pool 04,0,0
Wetland Pool 06,0.12,0
Wetland Pool 08,0.17,0
Wetland Pool 12,0,0
Wetland Pool 13,0,0
Wetland Pool 18,0,0
Wetland Pool 19,0,0
Wetland Pool 09,0,0
Aurand Run upstream,0,0
Wetland Pool 01,0,0
Wetland Pool 01,0,0
Aurand Run downstream,0,0
Wetland Pool 01,0,0
Wetland Pool 01,0,0
Aurand Run connection to P1,0.875,0.216
Wetland Pool 12,0.734,0.055
Wetland Pool 18,2.385,0.089
Wetland Pool 19,1.837988,0.071
Wetland Pool 09,1.5,0.126
Wetland Pool 04,0.724,0.036
Aurand Run upstream,0.941,0.042
Wetland Pool 20,0.704,0.232
Wetland Pool 20,0.731,0.054
Wetland Pool 25,5.18,0.456
Wetland Pool 40,1.96,0.25
Wetland Pool 21,0.744,0.292
Wetland Pool 39,4.193,0.162
Wetland Pool 29,3.365,0.598
Wetland Pool 41,0.794,0.077
Wetland Pool 30,0.704,0.067
Wetland Pool 42,2.143,0.127
Wetland Pool 35,2.040609,0.264
Wetland Pool 34,0.77,0.08
Wetland Pool 33,0.68,0.06
Wetland Pool 43,1.005,0.051
Wetland Pool 26,3.654,0.221
Aurand Run downstream,1.168732,0.072
Wetland Pool 01,1.08,0.037
Aurand Run connection to P1,1.984818,0.166
Wetland Pool 18,1.731821,0.13
Wetland Pool 18,1.54,0.13
Wetland Pool 19,1.47,0.11
Wetland Pool 09,0.72,0.06
Wetland Pool 09,0,0
Wetland Pool 04,0.633,0.12
Wetland Pool 04,6.764,0.26
Aurand Run upstream,4.967966,0.326
Wetland Pool 20,0.924,0.412
Wetland Pool 20,5.053,0.199
Wetland Pool 26,6.665597,0.486
Wetland Pool 40,0.896,0.209
Wetland Pool 40,3.719,0.246
Wetland Pool 39,3.123219,0.248
Wetland Pool 29,10.88,1.555
Wetland Pool 30,11.10326,1.235
Wetland Pool 30,5.93,0.55
Wetland Pool 42,1.042,0.116
Wetland Pool 35,0.822,0.078
Wetland Pool 34,2.733,0.116
Wetland Pool 26,1.496521,0.034
Wetland Pool 20,1.15,0.03
Wetland Pool 40,8.23239,0.851
Wetland Pool 40,2.651609,0.141
Wetland Pool 40,3.38,0.09
Wetland Pool 01,1.69,0.4
Wetland Pool 01,0.54,0.06
Aurand Run downstream,0.89,0.03
Wetland Pool 01,0,0
Wetland Pool 18,0.728,0.141
Wetland Pool 18,6.763,0.485
Wetland Pool 19,6.311407,0.464
Wetland Pool 09,1.21,0.21
Wetland Pool 09,1.05,0.2
Wetland Pool 04,0.84,0.03
Wetland Pool 04,1.87,0.18
Aurand Run connection to P1,0.87,0.03
Aurand Run upstream,2.72,0.08
Wetland Pool 20,0.938,0.165
Wetland Pool 20,5.286,0.404
Wetland Pool 40,3.258247,0.214
Wetland Pool 39,7.08,0.831
Wetland Pool 29,1.14,0.1
Wetland Pool 30,1.024,0.028
Wetland Pool 42,3.466,0.091
Wetland Pool 35,2.41134,0.117
Wetland Pool 34,2.63,0.123
Wetland Pool 34,2.720043,0.1
Wetland Pool 26,2.56,0.16
Wetland Pool 40,2.6,0.21
Wetland Pool 26,0.9,0.11
Wetland Pool 01,1.47,0.17
Wetland Pool 01,0,0
Aurand Run connection to P1,0.875,0.129
Wetland Pool 01,0.926,0.084
Wetland Pool 36,3.052,0.139
Wetland Pool 42,2.314641,0.177
Wetland Pool 42,1.3,0.054
Wetland Pool 31,2.6414,0.152
Wetland Pool 31,3.1,0.28
Wetland Pool 30,1.26,0.12
Wetland Pool 01,0.684,0.152
Wetland Pool 01,1.202,0.194
Aurand Run downstream,0.71,0.29
Wetland Pool 01,0.67,0.02
Aurand Run upstream,5.31,0.36
Wetland Pool 04,1.955,0.074
Wetland Pool 06,1.169,0.053
Wetland Pool 08,0.643,0.036
Wetland Pool 09,6.122,0.273
Wetland Pool 10,0.63,0.02
Wetland Pool 11,1.246,0.047
Wetland Pool 12,1.119,0.133
Wetland Pool 18,0.688,0.036
Wetland Pool 19,4.97,0.252
Wetland Pool 25,4.4102,0.275
Wetland Pool 26,1.99,0.26
Wetland Pool 32,1.291,0.074
Wetland Pool 43,0.548,0.025
Wetland Pool 34,2.687,0.075
Wetland Pool 37,1.921644,0.143
Wetland Pool 36,1.35,0.067
Wetland Pool 42,2.426049,0.124
Wetland Pool 31,2.11,0.32
Wetland Pool 30,0.51,0.03
Wetland Pool 39,0,0
Wetland Pool 40,1.379,0.044
Wetland Pool 20,1.039,0.041
Wetland Pool 20,0.986,0.055
Wetland Pool 01,0.993,0.045
Wetland Pool 01,1.025,0.038
Wetland Pool 40,0.98,0.043
Wetland Pool 40,1.071,0.05
Wetland Pool 40,1.073,0.047
Wetland Pool 42,0.939,0.093
Wetland Pool 36,0.88,0.043
Wetland Pool 35,0.94,0.047
Wetland Pool 38,2.716,0.083
Wetland Pool 34,1.054626,0.024
Wetland Pool 33,1.145224,0.032
Wetland Pool 43,1.361811,0.02
Wetland Pool 20,1.19,0.056
Wetland Pool 20,1.93792,0.178
Wetland Pool 32,2.159811,0.478
Wetland Pool 31,1.834232,0.117
Wetland Pool 30,1.591444,0.094
Wetland Pool 22,1.615372,0.1
Wetland Pool 01,1.61,0.2
Wetland Pool 01,1.35,0.08
Aurand Run downstream,1.21,0.14
Wetland Pool 01,1.21,0.07
Aurand Run connection to P1,1.32,0.08
Wetland Pool 06,1.23,0.08
Wetland Pool 08,0,0
Wetland Pool 12,1.18,0.185
Wetland Pool 13,10.538,0.955
Wetland Pool 18,4.115015,0.135
Wetland Pool 19,7.21,1
Wetland Pool 04,0.627,0.051
Aurand Run upstream,1,0.071
Wetland Pool 01,13.304,1.655
Wetland Pool 01,3.296577,0.198
Aurand Run downstream,2.48,0.134
Wetland Pool 01,4.493897,0.343
Wetland Pool 18,5.35,0.51
Wetland Pool 09,1.78,0.38
Wetland Pool 04,1.11,0.32
Aurand Run upstream,0.83,0.05
Wetland Pool 34,2.08,0.19
Wetland Pool 42,0,0
Wetland Pool 30,0.511,0.034
Wetland Pool 39,3.966,0.165
Wetland Pool 26,5.113014,0.439
Wetland Pool 40,13.07,0.062
Wetland Pool 20,0.82,0.04
Wetland Pool 20,1.21,0.05
